dxhy.name,force.mean,torque.mean,force.median,torque.median,force.sd,torque.sd,force.max,torque.max,force.skewness,torque.skewness,force.kurtosis,torque.kurtosis,force.IQR,torque.IQR,force.coefficient_of_variation,torque.coefficient_of_variation,spearman.correlation,pearson.correlation,spectral_density.df,spectral_density.bandwidth,dual.gini,force.gini,torque.gini,force.autocorr.mean,force.autocorr.sd,torque.autocorr.mean,torque.autocorr.sd,RUL
d7h19,291.0185937,20.15807185,314.5868,24.60039,186.4474027,12.51020924,542.9917,542.9917,-0.305295357,-0.299691929,1.60612845,1.458627867,375.39071,24.600395,64.06717877,62.06054496,0.910867032,0.927699603,1.769195612,0.001202813,0.622739408,0.362896434,0.347811325,0.830664932,0.114670425,0.807371283,0.132057493,2
d7h20,310.9897714,21.85742883,332.4118,26.26258,192.1255832,12.48386236,561.9533,561.9533,-0.307474089,-0.336657097,1.629991444,1.560966744,360.9319,23.270645,61.77874674,57.11496287,0.889401571,0.917946656,1.754265692,0.001202813,0.61420389,0.349929417,0.321524869,0.818890007,0.120704915,0.798042872,0.13138482,1
d7h21,230.2845197,32.51285308,96.80859,33.57621,215.9999024,15.70212511,649.1706,649.1706,0.812251665,-0.337864064,1.97854546,3.012396806,369.61412,12.3002,93.79697025,48.29513137,0.464101198,0.408034906,1.690813528,0.000601407,0.616515634,0.492370089,0.263058084,0.922929361,0.056334352,0.758999604,0.143182265,0
d8h1,260.0741438,13.78648443,313.90125,16.45567,132.0647586,8.614434443,438.0268,438.0268,-0.809104936,-0.427506616,2.297621802,1.804288317,189.12945,16.20634175,50.77965714,62.48463478,0.782689476,0.759114829,1.708646489,0.001336459,0.592822367,0.276239462,0.350956156,0.706265915,0.191899663,0.720520773,0.187081374,18
d8h2,263.615843,14.50909662,307.7311,17.28676,144.2122394,9.339085236,450.8415,450.8415,-0.613935835,-0.381397242,2.004277992,1.651982648,241.78355,17.6192035,54.70545237,64.3671035,0.821708594,0.817878583,1.750118491,0.001336459,0.60505416,0.304541879,0.362295486,0.744649203,0.168520554,0.747810436,0.169823659,17
d8h3,270.3331933,14.71037075,309.10225,17.6192,139.9027956,8.973309497,447.9938,447.9938,-0.683366506,-0.529042529,2.165188182,1.786789533,219.047975,16.28945,51.75198574,60.99988674,0.822237015,0.817851468,1.692057688,0.001336459,0.59653429,0.286951973,0.339993633,0.712452841,0.188426054,0.728171831,0.185577936,16
d8h4,270.2203981,14.73754891,313.2157,18.28408,148.0800873,9.268846044,460.8085,460.8085,-0.588284044,-0.40616129,1.98253914,1.613954639,248.597,18.6165115,54.79974432,62.89272455,0.815312727,0.837759577,1.750118491,0.001336459,0.60594314,0.306034133,0.352854089,0.754363821,0.16203505,0.753895887,0.173989228,15
d8h5,260.3117343,14.41419907,291.65165,17.45298,155.1255021,9.685805351,452.2653,452.2653,-0.489427452,-0.355885965,1.795309226,1.544280296,288.3451,19.946262,59.59220492,67.19627851,0.846346269,0.854913829,1.751777372,0.001283001,0.620661551,0.334211136,0.377164089,0.788020668,0.141637985,0.779568769,0.157938362,14
d8h6,261.3683887,14.56850494,297.3218,17.28676,149.5627073,9.451604338,452.2653,452.2653,-0.500072212,-0.381575403,1.869314266,1.649862707,265.64495,18.4503,57.22295188,64.87696834,0.843766957,0.844349173,1.783296093,0.001336459,0.612955332,0.321646216,0.365092097,0.770834324,0.152827029,0.759077134,0.168646711,13
d8h7,261.572652,14.7491555,296.1878,17.95164,141.1619125,9.179342275,440.8745,440.8745,-0.587326868,-0.465463177,2.024731526,1.738155504,231.658325,16.8712165,53.96661746,62.23639226,0.812810781,0.81725811,1.741824091,0.001336459,0.601857997,0.301778962,0.348277344,0.745363701,0.167188515,0.744823823,0.17699935,12
d8h8,254.2657349,14.54876886,288.81655,18.28408,144.1950244,9.460174984,443.7222,443.7222,-0.54014555,-0.408761713,1.926210843,1.605834465,250.032175,18.450298,56.71036426,65.02388674,0.8461198,0.850957797,1.791590494,0.001336459,0.610122631,0.317649177,0.363870865,0.750807191,0.167345325,0.762893304,0.167519437,11
d8h9,262.5931618,15.10390744,300.8753,18.94895,151.0832926,9.70802524,465.08,465.08,-0.520565091,-0.424057259,1.880555111,1.59030797,263.83805,19.613827,57.53512069,64.27492541,0.863397322,0.866666716,1.743814747,0.001283001,0.612270067,0.322715504,0.358853628,0.764916289,0.157006949,0.772971507,0.160181942,10
d8h10,264.6514722,15.24088033,291.6516,18.94895,163.7039827,10.02018125,476.4708,476.4708,-0.39941237,-0.392401873,1.722839019,1.491565079,307.15585,20.611145,61.85644136,65.74542302,0.858888244,0.869186144,1.694546009,0.001202813,0.626067117,0.349261328,0.365137158,0.804515228,0.131882001,0.79213304,0.146700452,9
d8h11,272.9210121,16.03283168,297.3218,20.77736,163.4298195,10.24860873,485.0139,485.0139,-0.423260644,-0.392731683,1.747085679,1.51725342,301.282125,20.3618105,59.8817285,63.92263657,0.855269483,0.876313646,1.702010969,0.001202813,0.617785595,0.337739632,0.356099989,0.800426615,0.133106052,0.782979301,0.14912142,8
d8h12,288.2432883,17.04538487,296.7548,22.27333,179.2768392,11.40442509,519.6544,519.6544,-0.330106503,-0.367606908,1.688329761,1.453935808,346.609475,23.5199675,62.19636204,66.90623397,0.892287996,0.901760022,1.71694089,0.001202813,0.625836485,0.35275683,0.371185188,0.797881639,0.138266154,0.803495709,0.139826477,7
d8h13,282.8659411,17.29808059,288.2495,21.27602,181.5794192,11.6770093,534.2402,534.2402,-0.279910233,-0.313475355,1.660493801,1.438133691,354.13482,23.935517,64.19274746,67.50465313,0.886118204,0.896241734,1.754265692,0.001202813,0.631114885,0.365032303,0.376537287,0.822733014,0.119850412,0.807994292,0.135122721,6
d8h14,286.8237204,17.53818702,289.95055,21.442235,189.718204,12.03621484,547.3675,547.3675,-0.238364292,-0.270892362,1.611203705,1.401403449,380.07168,24.600397,66.14453078,68.62861493,0.888448235,0.903387568,1.776660573,0.001202813,0.637309711,0.376221859,0.383165433,0.820776736,0.124132275,0.8182892,0.129712344,5
d8h15,283.7481233,17.40173148,295.0538,21.1098,186.0257399,12.25811995,542.9917,542.9917,-0.256677898,-0.269109516,1.631974555,1.394193987,361.0256475,25.34838425,65.56016573,70.44195553,0.918677062,0.918258627,1.791590494,0.001202813,0.635453506,0.37292885,0.393604559,0.819664186,0.125069998,0.824318201,0.125138796,4
d8h16,294.2075033,18.30911393,295.0538,22.27333,192.026562,12.22591684,561.9533,561.9533,-0.237587273,-0.30221959,1.610112175,1.429125043,380.186035,24.267958,65.26909061,66.77503285,0.900627333,0.907863459,1.784125533,0.001202813,0.632809817,0.371449681,0.373156395,0.826167387,0.119045099,0.818641555,0.128051065,3
d8h17,293.4720137,18.67330615,297.88885,22.938205,190.5409238,12.89793692,537.1574,537.1574,-0.283698584,-0.274039098,1.605301991,1.404672966,392.3827975,25.930149,64.9264376,69.07152281,0.878854608,0.909611724,1.791590494,0.001202813,0.631735124,0.367887112,0.386064645,0.825291579,0.118489198,0.814263897,0.130893515,2
d8h18,294.7691072,19.98652177,292.7857,21.94089,206.6797781,12.85577569,566.329,566.329,-0.170975958,-0.305758624,1.503994064,1.568219716,429.3609225,24.43417075,70.11582049,64.32222595,0.855675191,0.860842911,1.791590494,0.001127637,0.643954519,0.397629344,0.363427946,0.840722448,0.111196148,0.818114693,0.121442467,1
d8h19,492.1258665,43.91600572,559.0361,46.54129,201.0363645,22.49778596,770.3161,770.3161,-0.824814251,-0.38563075,2.782319498,2.67685259,300.47455,22.6888775,40.85059904,51.22912613,0.546127072,0.713791493,1.692057688,0.000668229,0.536590829,0.225436726,0.284187576,0.674316273,0.201646778,0.797852893,0.108700194,0
d9h1,232.7422045,16.15928985,266.7029,18.28408,99.41280668,8.764713016,357.0926,357.0926,-1.084328698,-0.613130326,3.024678549,2.250361296,100.8504,11.96776,42.71369986,54.23946904,0.848061917,0.812572395,1.763596892,0.001503516,0.552862702,0.225155356,0.301887356,0.612039744,0.241923156,0.665814573,0.21303603,22
d9h2,245.8999827,18.17150521,285.9815,21.27602,108.7121649,10.14524417,391.3714,391.3714,-0.946613547,-0.601041522,2.730653755,2.014523575,139.2146,16.621887,44.20991158,55.83051076,0.8947573,0.842385482,1.763596892,0.001503516,0.555781119,0.238606361,0.310984718,0.642451247,0.223600207,0.694461327,0.19277411,21
d9h3,252.7509066,18.79926833,284.8474,22.27333,117.5209866,10.66425592,423.7883,423.7883,-0.774812021,-0.601236112,2.444442179,1.954017355,171.9945,17.7854175,46.49676163,56.72697329,0.909113396,0.875616092,1.782259293,0.001503516,0.563878559,0.256355545,0.315634921,0.682419673,0.202025593,0.707829561,0.187874297,20
d9h4,255.0363272,18.59227445,289.3836,22.60577,119.8854719,10.60944123,401.0067,401.0067,-0.759585809,-0.608908181,2.383498547,1.887827761,175.017125,18.0347465,47.00721393,57.06370816,0.92878031,0.888994366,1.791590494,0.001503516,0.56686882,0.259792716,0.315760416,0.689184388,0.19489955,0.726369175,0.181405062,19
d9h5,261.5473407,18.86411178,289.38355,22.77199,122.3218569,10.9172977,410.9737,410.9737,-0.728643867,-0.572825293,2.360966641,1.870614288,185.36615,19.0320645,46.76853399,57.87337265,0.928302299,0.899330668,1.791590494,0.001503516,0.567175601,0.259295961,0.321991642,0.69193637,0.19300745,0.726109942,0.180949613,18
d9h6,255.5845467,18.25983647,294.48675,21.77467,119.3577448,10.54626247,402.4306,402.4306,-0.761064695,-0.584799652,2.372807521,1.889809657,178.662875,18.200964,46.69990669,57.75660964,0.932595436,0.897900939,1.791590494,0.001503516,0.567000018,0.25784155,0.321175291,0.689967773,0.196955962,0.722998087,0.186064523,17
d9h7,259.667556,18.90611254,299.0229,23.43686,125.6029447,10.90040421,409.5498,409.5498,-0.712559748,-0.637683725,2.237783577,1.892955249,197.2649,17.6192,48.37067312,57.65544974,0.939238565,0.906141484,1.737842779,0.001443376,0.57097233,0.267944872,0.317381961,0.71539045,0.180211615,0.721269731,0.1861494,16
